Covidence #,Study ID,Title,Reviewer Name,Authors,Publication date,Journal,Inclusion criteria,Did the study use any of the following approaches (typical signals of a causal question)?,Causal interpretation,Type of study design,Was the size of the inception sample* for the research question of interest available or able to be established?,What was the size of the inception sample*?,"Was there a reduction in participants from the inception sample to the analysis sample due to non-response or missing data in a variable used in the analysis (exposure, outcome, covariates)?",What was the size of the analysis sample*?,Was the percentage of complete cases* available or able to be established?,Percentage of complete cases / upper bound on the percentage of complete cases,What was the exposure?,Were there missing values in the exposure?,Percentage of missing values in the exposure / lower bound on the percentage of missing values in the exposure,What was the outcome?,Were there missing values in the outcome?,Percentage of missing values in the outcome / lower bound on the percentage of missing values in the outcome,Were there missing values in the covariates?,Was a statement provided about what missingness assumptions were made?,Were missingness assumptions justified?,Details of justification for missingness assumptions,Did authors address the potential for data to be MNAR?,Primary method of analysis,Was the primary analysis justified on the basis of missingness assumptions?,Details of justification for primary analysis on the basis of missingness assumptions.,Was a secondary analysis that handles missing data differently used to answer the same causal question?,Was the secondary analysis justified?,"If a delta-adjusted analysis was used, was external information incorporated in the analysis?","If a delta-adjusted analysis was used, provide details of the delta-adjusted analysis",What method was used for multiple imputation?,What software was used for multiple imputation?,Number of imputations used in the multiple imputation procedure,Were all analysis variables included in the imputation model?,Were auxiliary variables included in the imputation model?,Were interactions included in the imputation model?,"If results were obtained using both a CCA and MI, did the authors observe any substantial difference between these?","If results were obtained using both a CCA and MI, AND no substantial difference between these two sets of results was observed, was any interpretation or explanation provided for the similarities between the two sets of results? If so, what was the interpretation or explanation?",Any other comments?
342,Zhou 2019,The Association of Social Isolation With the Risk of Stroke Among Middle-Aged and Older Adults in China,Rheanna Mainzer,Zhou,May-19,American Journal of Epidemiology,Study stated they were estimating a causal effect; Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,Interventions to reduce social isolation may be particularly beneficial in preventing the occurrence of stroke among middle-aged and older adults in China.,Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",12662,Able to establish an upper bound only,90%,Social isolation (nonisolated or isolated),No,0%,Stroke,No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,Other: A data augmentation procedure was applied to alternately fill in the missing data. ,No,NA ,NA,MVNI,Other: NORM software ,Not reported,Unclear,Unclear,Unclear,NA,NA,"- National baseline survey for the study involved 17,708 respondents. Participants were then excluded due to eligibility criteria and missing data / loss to follow-up.
- Time-to-event analysis - weights used to take into account censoring and confounding (in addition to using MI)
- Lacks details on MI but a lot of consideration is given to confounding"
340,Yuan 2020,Long-term use of antibiotics and risk of type 2 diabetes in women: a prospective cohort study,Rheanna Mainzer,Yuan,Sep-20,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"A longer duration of antibiotic use in recent years was associated with increased risk of type 2 diabetes in women. Physicians should exercise caution when prescribing antibiotics, particularly for long-term use.",Individual patient data (IPD) meta-analysis / pooled cohort analysis,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",114210,No,NA,"Duration of antibiotic use in the past 4 years (none, 1-14 days, 15 days-2 months, 2+ months)",No,0%,Type 2 diabetes,No,0%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,"Yes, unweighted CCA",No,NA ,NA,MICE,SAS,5,Unclear,Unclear,Unclear,No,"No - ""we observed no substantial changes in primary results""","- 2 Nurse Health Study (NHS) cohorts used for analysis
- Time-to-event analysis
- Participants with missing antibiotic use data (used to calculate exposure) were excluded from analysis"
337,Yu 2021,"Dietary Vitamin K Intake and the Risk of Pancreatic Cancer: A Prospective Study of 101,695 American Adults",Katherine Lee,Yu,May-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"dietary intakes of phylloquinone and dihydrophylloquinone were inversely associated with the risk
of pancreatic cancer...

Because of the observational design of our study, our findings do not imply causation and need to be confirmed in other populations and settings.",Other: Randomised trial,Yes,154887,,101695,Able to establish an upper bound only,74%,"Dietary intakes of nutrients (including
phylloquinone, menaquinone-4 through menaquinone-14,
and dihydrophylloquinone)",No,NA,Time to pancreatic cancer,No,NA,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed","Other: MI for missing physical activity, median/modal imputation if <5% missing, and excluded those with missing exposure data",No,NA,"Yes, unweighted CCA","Yes, as a sensitivity analysis to parametric modelling assumptions",NA ,NA,MICE,Stata,25,Yes,Unclear,Unclear,Yes,No,
337,Yu 2021,"Dietary Vitamin K Intake and the Risk of Pancreatic Cancer: A Prospective Study of 101,695 American Adults",Rheanna Mainzer,Yu,May-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"On one hand, our observation suggests that increasing dietary intake of phylloquinone or dihydrophylloquinone could be an attractive approach for reducing the risk of pancreatic cancer...",Prospective longitudinal study,Yes,145075,"Other: Yes, missing data",101695,Able to establish an upper bound only,72,"Dietary intake of phylloquinone, i.e., vitamin K1 (micrograms/day, divided into four categories)",No,0,Time to pancreatic cancer,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,Yes,"MI was used to increase statistical power and decrease potential biases, with the assumption that the data were missing at random","Yes, unweighted CCA","Other: Yes, to examine the potential impacts of data imputation on results",NA ,NA,MICE,Stata,25,Yes,Yes,No,No,"the direction and the magnitude of the association between dietary vitamin K intake and the risk of pancreatic cancer did not alter substantially, although the linear trend was found to be nonsignificant for dietary dihydrophylloquinone intake",Authors compared summary statistics for variables before and after imputation
337,Yu 2021,"Dietary Vitamin K Intake and the Risk of Pancreatic Cancer: A Prospective Study of 101,695 American Adults",Consensus,Yu,May-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"On one hand, our observation suggests that increasing dietary intake of phylloquinone or dihydrophylloquinone could be an attractive approach for reducing the risk of pancreatic cancer...",Prospective longitudinal study,Yes,145075,"Other: Yes, missing data",101695,Able to establish an upper bound only,72,"Dietary intake of phylloquinone, i.e., vitamin K1 (micrograms/day, divided into four categories)",No,0,Time to pancreatic cancer,No,0,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,"Yes, unweighted CCA","Other: Yes, to examine the potential impacts of data imputation on results",NA ,NA,MICE,Stata,25,Yes,Yes,No,No,"the direction and the magnitude of the association between dietary vitamin K intake and the risk of pancreatic cancer did not alter substantially, although the linear trend was found to be nonsignificant for dietary dihydrophylloquinone intake",Prospective data from trial.
336,Youssim 2021,Holocaust Experience and Mortality Patterns: 4-Decade Follow-up in a Population-Based Cohort,Rheanna Mainzer,Youssim,Feb-21,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"In summary, this study contributes to understanding of the consequences of extreme adversity in life with regard to long-term mortality among parous Holocaust survivors. Our results suggest that sex-specific intervention strategies may be warranted to treat and prevent cancer and cardiovascular ailments in Holocaust survivors.",Other: Prospective longitudinal study with data linkage (for outcomes),Yes,10210,No,10210,Able to establish an upper bound only,88%,Holocaust survivor vs (not born in a country under Nazi rule or immigrated before persecutions began),No,0%,All-cause mortality,No,0%,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed","CCA, unweighted",No,NA,"Yes, MI using the full analysis sample",No,NA ,NA,MICE,Stata,Not reported,Unclear,Unclear,Unclear,No,"No - ""analyses [...] yielded similar estimates""",#NAME?
335,Yisahak 2021,"Vegetarian diets during pregnancy, and maternal and neonatal outcomes",Rheanna Mainzer,Yisahak,Nov-20,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"With replication in studies with larger sample sizes of vegetarians, our findings have the potential to inform nutrition counselling for pregnant women.",Prospective longitudinal study,Yes,2802,Other: Nutrition component of the study was deployed midway through recruitment,1948,Able to establish an upper bound only,84%,Self-defined vegetarianism (yes/no),Yes,16%,Birthweight (grams),No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,Unclear,SAS,20,Unclear,Unclear,Unclear,NA,NA,"- Missing data statement: ""Missing exposure, covariate and outcome data were multiply imputed (20 iterations)""
- No supplementary materials."
334,Xuan 2019,Association of serum markers of oxidative stress with myocardial infarction and stroke: pooled results from four large European cohort studies,Rheanna Mainzer,Xuan,May-19,European Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,This pooled analysis of four large population-based cohorts suggests an important contribution of an imbalanced redox system to the etiology of mainly fatal MI and stroke events.,Case-control study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, both non-response and missing data in an analysis variable",2856,Able to establish an upper bound only,82%,Derivatives of reactive oxygen metabolites (d-ROMs) levels,No,0%,Myocardial infarction (MI),No,0%,"Yes, in 2 or more covariates","Yes, authors invoked (either explicitly or implicitly) the missing at  random assumption",No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,Yes,"MI was used because it was assumed that data were MAR (""To the best of our knowledge, data were missing at random, which is the assumption of the multiple imputation"")",No,NA,NA ,NA,MVNI,SAS,5,Yes,Yes,No,NA,NA,#VALUE!
333,Xiao 2021,Associations of parental birth characteristics with autism spectrum disorder (ASD) risk in their offspring: a population-based multigenerational cohort study in Denmark,Rheanna Mainzer,Xiao,Jan-21,International Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study used a directed acyclic graph (DAG) or mDAG to illustrate causal assumptions made in the analysis; Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,"Our findings provide new evidence for possible multigenerational factors influencing ASD risk that should be sought, in both men and women, before conception. + Hypothesis about mechanisms through which birth characteristics may influence ASD risk in the following generation (in Introduction).",Prospective longitudinal study,"No, eligibility criteria required one or more variables to be complete",NA,"Yes, missing data in an analysis variable",230174,Yes,99%,"Mother gestational age (non-preterm, preterm, very preterm)",No,NA,Autism Spectrum Disorder (ASD),No,NA,"Yes, in 1 covariate only",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,Unclear,SAS,10,Unclear,Unclear,Unclear,NA,NA,"- Participants excluded if gestational age not recorded (exposure)
- Considered question within mother-child pairs for this review
- ""SAS MI procedure"" was used. Unclear whether MICE or MVNI."
332,Williams-Nguyen 2020,Association Between Chronic Hepatitis C Virus Infection and Myocardial Infarction Among People Living With HIV in the United States,Rheanna Mainzer,Williams-Nguyen,Nov-19,American Journal of Epidemiology,Study estimated an effect of an exposure on an outcome that was given (at least implicitly) a causal interpretation,Study identified a set of variables that were used to control for confounding; Study estimated an effect of an exposure on an outcome using a regression model that was adjusted for a set of covariates,These findings demonstrate the importance of examining MIs by type among PLWH and support increasing calls for broad-scale efforts to better understand the biological underpinnings of T2MI and ultimately effective management approaches.,"Retrospective analysis of routinely collected data (e.g., administrative or EMR data)","No, eligibility criteria required one or more variables to be complete",NA,NA,23407,Able to establish an upper bound only,67%,Chronic hepatitis C virus (HCV) infection (yes/no),No,NA,"Myocardial infarction, either type 1 or 2",No,NA,"Yes, in 2 or more covariates",No,No,NA,"No, the possibility that data were MNAR was not addressed",MI using the full analysis sample,No,NA,No,NA,NA ,NA,MICE,R,100,No,No,No,NA,NA,"- Inclusion: ""Included in this study were all participants aged >= 18 years from 6 CNICS sites with comprehensive access to inpatient and outpatient electronic medical records"". 2 CNICS sites were excluded.
- Supplementary Material NA on website. According to text, Web Table 1 summarises missing data.
- Time-to-event analysis
- ""Missing values for all analytical variables were multiply imputed [...] on the basis of all other covariates"" - assume exposure / outcome was not included in imputation model. "
